mean,median,std,rms,min,max,range,skewness,kurtosis,zero_crossings,hjorth_activity,hjorth_mobility,hjorth_complexity,q25,q75,iqr
-1.1869350784579431e-07,-4.2500295338817484e-07,1.0834468990082318e-05,1.0835119124673254e-05,-3.9135312111419396e-05,6.780865489999084e-05,0.00010694396701141023,0.35117970805828236,1.3603961918601835,976,1.1738571829705536e-10,0.7608783988171346,1.5880563477689804,-7.391895070010847e-06,6.8710805666909055e-06,1.4262975636701751e-05
3.035867474819968e-07,2.0129366078553514e-07,1.431340700571653e-05,1.4316626174645399e-05,-6.227610308372368e-05,6.004953551878498e-05,0.00012232563860250866,0.08433185726618639,1.1943274007517424,957,2.0487362011129507e-10,0.7840869906204053,1.5629867418558945,-8.408204788805774e-06,9.034181242034617e-06,1.744238603084039e-05
1.6442994844838443e-07,1.1384179830918913e-06,1.608161378646928e-05,1.608245438933702e-05,-7.96598977200406e-05,5.943773238546416e-05,0.00013909763010550475,-1.001691098291502,3.224581471779686,884,2.586183019771588e-10,0.6037142806124997,2.0294055955739942,-7.631368701945606e-06,1.0185979739921587e-05,1.7817348441867193e-05
5.209403696123277e-07,4.945478273126506e-07,1.640816383278821e-05,1.6416431379331832e-05,-7.916531391222117e-05,7.371798636700889e-05,0.00015288330027923006,-0.2210377180227617,2.036765736613476,796,2.6922784036361904e-10,0.5804991062747573,2.0691882020060506,-8.853296157087555e-06,1.0173008515623803e-05,1.902630467271136e-05
-2.1315920833549508e-08,1.7857809698198025e-07,2.0798396374431493e-05,2.0798407297590027e-05,-0.0001229396122770284,9.198359237373298e-05,0.00021492320465076137,-0.3365813541301978,3.8246064744050994,879,4.3257329174796505e-10,0.6190893393613357,2.0170396024899806,-1.089191473211158e-05,1.0574725278842683e-05,2.1466640010954262e-05
3.1219467102453986e-07,1.0897319005887777e-06,2.2786654398019258e-05,2.2788792951084236e-05,-0.00011424025675825962,9.004497876223246e-05,0.00020428523552049207,-0.4879756008823354,2.179651455811454,792,5.192316186547704e-10,0.5480859756457005,2.2484668435331048,-1.0989852782209638e-05,1.3283493056261919e-05,2.4273345838471558e-05
-5.006036643608575e-07,1.9265483319373404e-07,1.5010722049875996e-05,1.5019067230936977e-05,-9.005241560430822e-05,7.640164049292267e-05,0.00016645405609723088,-0.7848836101962324,4.652216682079411,736,2.253217764586334e-10,0.5633394749992391,2.1016703357584574,-7.900879486240675e-06,8.213586111302307e-06,1.611446559754298e-05
-2.014773703991711e-07,2.952727873380682e-07,1.5615527058729023e-05,1.5616826772833244e-05,-0.00012404224261342215,0.00013384200674174942,0.0002578842493551716,-0.2688884281056936,10.079458984033026,1128,2.438446853218983e-10,0.7676962115205492,1.6009291262827645,-8.210108776105567e-06,8.243004764365621e-06,1.6453113540471187e-05
2.8544987646246255e-07,-6.030397784416694e-07,1.841666240304664e-05,1.8418874441717768e-05,-7.197988202849665e-05,0.00010553762860058405,0.00017751751062908071,0.5144760996405301,1.9974380260845255,981,3.3917345406779166e-10,0.7381113507072551,1.6997067757591107,-1.1021957181958293e-05,1.0214771141962036e-05,2.123672832392033e-05
1.3669768926176405e-07,-1.3663142104092897e-07,1.3069431728467771e-05,1.3070146593031373e-05,-4.506957321922141e-05,4.6776929123385774e-05,9.184650234260718e-05,0.08709832403005348,0.12414788278253397,995,1.708100457050801e-10,0.8092855682861931,1.5248501362974916,-8.55233454565394e-06,8.550637437249612e-06,1.7102971982903554e-05
-9.19977127727545e-09,-2.732935867586752e-09,1.3074972836860447e-05,1.3074976073417118e-05,-7.225591357874822e-05,4.827281428438477e-05,0.00012052872786313299,-0.5531964133008039,2.8035037445341446,796,1.7095491468463854e-10,0.5832563036549391,1.9827381485719768,-7.244846710700829e-06,7.688519359003732e-06,1.493336606970456e-05
1.933852596191699e-07,1.204586480083325e-06,1.3225461844562271e-05,1.3226875627320704e-05,-6.369223580599246e-05,4.100715190924461e-05,0.00010469938771523707,-0.7163970963302567,1.8609766288271707,684,1.7491284100197246e-10,0.5428590739125801,2.1573239716434176,-6.677672422667049e-06,8.568868984732164e-06,1.5246541407399213e-05
-1.5758447814516644e-08,3.3760164088515284e-07,1.0009705269891169e-05,1.000971767427856e-05,-4.525437979866743e-05,3.244136501006888e-05,7.76957448087363e-05,-0.2727225062274487,0.5578559355597896,540,1.0019419959008705e-10,0.4570720088637758,2.362877953370414,-6.08820742562496e-06,6.736633231809129e-06,1.2824840657434089e-05
-2.820886440534605e-07,-1.8778680839100674e-07,1.3950921727769678e-05,1.3953773362695125e-05,-0.00012099478253623675,8.186312055354676e-05,0.0002028579030897835,-0.5806565427551409,10.152340237716384,426,1.946282170543561e-10,0.2825085688129143,3.2366533614339774,-7.161445065662828e-06,7.009246802168334e-06,1.4170691867831162e-05
-4.301133123826958e-08,1.0289178410054415e-07,1.6407551381059782e-05,1.6407607756669824e-05,-0.00010635722064486799,5.568080446767941e-05,0.00016203802511254739,-0.8923861770344687,4.910413956254509,367,2.692077423221168e-10,0.259390612619475,3.1257167948066855,-7.670601945706502e-06,8.622842250540616e-06,1.6293444196247118e-05
-1.809527112964361e-07,3.354320419595235e-07,1.9956843583149664e-05,1.9957663933587706e-05,-0.00012244347290475102,0.0001158176713943609,0.0002382611442991119,-0.5162987535509709,9.429559639929563,380,3.98275605802302e-10,0.22150063111379462,3.582326708838384,-8.56660341103514e-06,8.575294146285523e-06,1.7141897557320663e-05
1.0427124495250059e-07,5.569116167008322e-07,2.2966306460681637e-05,2.296654316475318e-05,-9.196228625104978e-05,0.00012059020462323213,0.00021255249087428192,0.3303516630829961,3.8489654309024646,613,5.274512324459471e-10,0.4576949101584835,2.491244450352283,-1.1511247345248138e-05,1.1564987555683581e-05,2.307623490093172e-05
-2.022389005633903e-07,-7.499680508454515e-07,1.0819415903395695e-05,1.0821305885314987e-05,-5.4557103663800064e-05,6.065931625394348e-05,0.00011521641991774355,0.5561881344083609,2.3227943790026027,515,1.170597604906517e-10,0.4494507804895184,2.3515834112359855,-6.863485798180175e-06,5.869298305560884e-06,1.2732784103741059e-05
