EMG_emg_std,EMG_emg_rms,EMG_power,EEG_ch0_delta_relative,EMG_variance,EEG_ch0_rbpr_delta_theta_alpha_beta,EEG_ch0_gamma_power,EEG_ch0_gamma_relative,EEG_ch1_gamma_relative,EOG_ch0_eog_var,EOG_ch0_rem_energy,EEG_ch0_rbpr_delta_alpha,EOG_ch1_eog_var,EEG_ch1_gamma_power,EOG_ch0_eog_peak_amplitude,EOG_ch0_sem_slope,EEG_ch0_delta_power,EEG_ch1_delta_relative,EOG_ch0_sem_variance,EOG_ch1_rem_energy,EOG_ch0_eog_range,EEG_ch0_iqr,EEG_ch0_q25,EEG_ch0_alpha_relative,EOG_ch1_sem_variance,EEG_ch0_beta_relative,EEG_ch0_zero_crossings,EEG_ch1_rbpr_delta_alpha,EEG_ch1_delta_power,EEG_ch0_q75,EEG_ch1_zero_crossings,EEG_ch1_spectral_entropy,EEG_ch0_D1_std,EEG_ch0_hjorth_mobility,EEG_ch0_std,EEG_ch0_D1_energy,EEG_ch0_rms,EEG_ch1_rbpr_delta_theta_alpha_beta,EEG_ch0_spectral_edge_freq_95,EOG_ch1_sem_slope,EEG_ch1_D1_std,EEG_ch1_q25,EOG_ch1_eog_peak_amplitude,EEG_ch0_A5_energy,EEG_ch0_spectral_entropy,EEG_ch1_D1_energy,EOG_ch1_eog_range,EEG_ch1_theta_relative,EEG_ch1_alpha_relative,EEG_ch1_q75
1.3249285871364435e-06,1.3249285968730589e-06,1.7554357868120128e-12,0.6113081700295601,1.7554357610113724e-12,9.174552179067453,1.2444824530012981e-13,0.0007294279335992083,0.000942300964012395,3.646080669363845e-10,1.1327962306897631e-06,8.117830815944039,1.8558827981951994e-10,1.640066322373802e-13,8.796182789454729e-05,5.9017869889962225e-08,1.0429574409418356e-10,0.6521340558346845,5.770167051371052e-12,5.714487886489205e-07,0.00016759373869897792,1.9385490701536087e-05,-1.031892794266719e-05,0.07530437427063695,3.302359878345736e-12,0.022332284241263767,292.0,9.933336532255822,1.135033437823623e-10,9.066562758868898e-06,292.0,2.7525326192292177,3.305464043732522e-05,0.2347702699922037,1.5755926555660787e-05,1.3496576161131763e-07,1.5760361677984384e-05,9.221349802416254,8.7890625,4.255525614560374e-08,3.9955552353289646e-05,-1.1454497967607207e-05,7.328177372493379e-05,5.840204438030105e-07,2.7681932140300027,1.9636684888785504e-07,0.0001316395480081108,0.24399799904164218,0.06565105830423199,9.838441206901224e-06
1.0310900155601478e-06,1.0310900165783257e-06,1.0631466222874918e-12,0.5439930631068881,1.0631466201878257e-12,4.927131538452696,1.225161983419433e-13,0.0011186441290989453,0.001025108608809387,1.4293098128864794e-10,4.4066353165151156e-07,4.118285068156912,7.174368129649046e-11,1.1048742364649565e-13,5.69142853113369e-05,2.5777066013345554e-08,5.95792355071214e-11,0.6188309661363551,1.1951575783095548e-12,2.2300995723099453e-07,0.0001110575714336561,1.5485172594433427e-05,-7.684883861245708e-06,0.1320921340081845,6.825360766894008e-13,0.03489433625826391,320.0,4.856714618738922,6.669833667721274e-11,7.800288733187717e-06,297.0,2.75673307147225,2.4596629254202286e-05,0.26767992867020235,1.2741772342074002e-05,7.455645900252002e-08,1.2742615702024783e-05,4.7713284746913445,10.25390625,2.009365496319099e-08,2.8566587473428947e-05,-7.675850019486064e-06,4.114630406790882e-05,3.5253270198595514e-07,2.978238243115738,1.0066917932444442e-07,7.733925725030302e-05,0.19938076937493518,0.1274176093750056,9.455368278165508e-06
1.0473653549703356e-06,1.04736535529448e-06,1.0969741874711322e-12,0.6154582591662282,1.0969741867921369e-12,6.198838184144725,1.3995452048451137e-13,0.0011859286317508725,0.0008994669307978561,1.8574047848810814e-10,5.824672065442447e-07,5.8928175625646215,1.0239635531718702e-10,1.0847417007524871e-13,8.646839512011122e-05,3.454963803817352e-08,7.263182895978532e-11,0.5892252930065502,2.868017183993694e-12,3.1856702210417507e-07,0.0001382668878757895,1.592960256380145e-05,-8.298573187096534e-06,0.10444210305712805,1.5861693740981085e-12,0.03312737336864337,311.0,5.7991888521132395,7.105956034374213e-11,7.631029376704916e-06,371.0,3.0508168146974226,3.122314159474916e-05,0.265318245873842,1.2423633085686017e-05,1.2037370111505062e-07,1.242421851086615e-05,5.866424084704009,10.25390625,2.389262542821105e-08,2.8980775625606653e-05,-8.287735236513733e-06,7.620399579602863e-05,2.613492700333342e-07,3.0318227295144515,1.0337963034171326e-07,0.00011195127520366445,0.2572856445673407,0.10160477750122501,7.5422843265597015e-06
1.0154447232102041e-06,1.0154447674398787e-06,1.0311280757210292e-12,0.58249215828951,1.031127985895448e-12,5.3257329809694784,1.3399645476968654e-13,0.0011801223216253418,0.001021612163333117,1.7523504261268583e-10,5.274071163737817e-07,4.650306473289244,5.947408315527151e-11,1.2288260241258258e-13,8.243106199191865e-05,3.537887727129309e-08,6.613880841982484e-11,0.6046526929135821,2.8117935706584288e-12,1.8268737215050717e-07,0.0001299155979271971,1.661167968187514e-05,-8.288992593070216e-06,0.12525887522365875,1.720849853681823e-12,0.031246744702157176,326.0,4.382385195097067,7.27294555877069e-11,8.322687088804925e-06,332.0,2.903409661476051,2.8122534305887436e-05,0.24878913213775106,1.3454169348748797e-05,9.793172997588912e-08,1.345440406254725e-05,4.633080152995679,9.765625,2.3381508886792015e-08,2.9199491101069106e-05,-9.352996504945999e-06,4.5492365009825185e-05,4.6188195975908135e-07,2.8908293268932947,1.0513006149659792e-07,7.200106687107818e-05,0.21014643349992687,0.13797342451550282,8.550736338444699e-06
1.0536042111376419e-06,1.053604211139719e-06,1.1100818337313497e-12,0.6280846851458304,1.1100818337269729e-12,4.822474681686891,1.2825250770905963e-13,0.000797231921467306,0.0006511862402664637,1.77777561191301e-10,5.324117127908267e-07,4.258701525727606,8.251115816453017e-11,1.0792554716533866e-13,6.14289951726986e-05,4.174910058259086e-08,1.0104140809533721e-10,0.696294684561976,5.079601038210318e-12,2.5922598046777723e-07,0.0001220628697553558,1.8499347323983993e-05,-9.669373876848545e-06,0.14748267314613486,1.3196914923834068e-12,0.02306107510602128,292.0,7.165717905238452,1.1540167800369642e-10,8.829973447135447e-06,297.0,2.780163691576931,3.285613351440342e-05,0.2422397804444348,1.542131756106948e-05,1.3422675183747473e-07,1.5442191324715655e-05,6.828312206886857,9.27734375,2.7075636631016524e-08,3.0945143085193626e-05,-8.119849267681126e-06,4.4995681887726946e-05,5.12554385528579e-07,2.860446259221324,1.1778700770382803e-07,8.70032355566003e-05,0.1701329436227515,0.09717026176162394,9.178137417050535e-06
1.0396893222236347e-06,1.0396893423682794e-06,1.0809539286341855e-12,0.5865623688040196,1.080953886745841e-12,8.089654298445678,1.2468209885842753e-13,0.0009122622842229096,0.0007497888590130482,2.3599818123873835e-10,7.174020297320632e-07,7.262645591264907,8.764177245333126e-11,1.0158341878993717e-13,6.544127050399309e-05,5.083742206210034e-08,8.016754448656575e-11,0.6593804569886429,5.665522823588062e-12,2.649761795662248e-07,0.00011669264470620276,1.8676291037445888e-05,-9.290013535240785e-06,0.08076428368052313,2.312588336645616e-12,0.02834558991473436,285.0,7.528817789990696,8.933464441222353e-11,9.386277502205103e-06,294.0,2.8247996047314703,2.962765165100063e-05,0.24065182143736763,1.4340429564974354e-05,1.0897841301717444e-07,1.4340743900976331e-05,6.615086894838402,9.27734375,2.855066629851406e-08,3.497287646223416e-05,-8.883428230547859e-06,4.51293155893916e-05,4.513492571970274e-07,2.793552424680731,1.5132201465803542e-07,7.952327179950317e-05,0.2022381960227498,0.08758087595973786,9.342003660950935e-06
1.0136218647779253e-06,1.0136218669892782e-06,1.0274292892388298e-12,0.6906575155333966,1.0274292847558784e-12,8.785934770867643,1.1971434118619586e-13,0.0006130987680590948,0.0006028527260013234,2.96370683140779e-10,9.066451184712557e-07,8.8394244543677,1.165137727124592e-10,1.065858526048974e-13,0.00010151334727260343,4.7214236972239515e-08,1.3485854770043504e-10,0.6543235590401424,4.468619380865147e-12,3.476455084878759e-07,0.00017962272015238163,1.938830019383774e-05,-9.88658621765878e-06,0.07813376528062657,2.3107315522067356e-12,0.023467724693915327,288.0,6.934115740055823,1.1568602315586345e-10,9.50171397617896e-06,288.0,2.774672657064456,4.06292190665557e-05,0.21212241092362458,1.7523692663356168e-05,2.0311035700903876e-07,1.7523692728034977e-05,6.958200964964725,8.7890625,3.426910078693581e-08,3.6416798060490785e-05,-9.733025938263137e-06,6.233678720360583e-05,6.877502717747475e-07,2.6835731308419275,1.63125981525333e-07,0.00010707762227377608,0.21454748795922632,0.09436294165964913,1.0114787502096507e-05
1.0356869662103298e-06,1.0356870641178392e-06,1.072647694781029e-12,0.530446682846307,1.0726474919779568e-12,6.174815923152599,1.3455890374199427e-13,0.0010806483023537718,0.0009343023094441008,1.4879473877619722e-10,4.421051588183556e-07,4.858733645201682,6.597457440836446e-11,1.1542456344831497e-13,5.814390688263227e-05,2.5477759778379647e-08,6.604954080056465e-11,0.5463591556716654,1.2408387899002753e-12,1.9929190069650412e-07,9.749552281683192e-05,1.7598008106576482e-05,-9.091604946909604e-06,0.10917385507850544,1.945300351101503e-12,0.028932588293044847,311.0,4.336250567303887,6.749771074301835e-11,8.506403159666876e-06,320.0,2.9623874991098327,2.7039834348632454e-05,0.25953229206060624,1.3867998806811225e-05,9.002099397155784e-08,1.3869728313134415e-05,4.91928024345268,9.27734375,2.2258214544948393e-08,2.806558327201429e-05,-8.529107510042626e-06,4.6465028034246545e-05,4.3857471346841974e-07,2.942765046169425,9.692774542867043e-08,7.294428926135032e-05,0.27719791743066075,0.12599805919688134,8.756640213138473e-06
1.0484607333628892e-06,1.0484607631733572e-06,1.0992699719140585e-12,0.42183635830475213,1.0992699094038474e-12,3.0156688967429544,1.2677870909355554e-13,0.001290390946897004,0.0011292357305533183,1.51083028862159e-10,4.927179688248946e-07,2.056933792881925,6.437347042449238e-11,1.0860731428207247e-13,8.068598909553981e-05,4.364449490152264e-08,4.144470254011451e-11,0.508834701155817,9.320235159078932e-12,1.988902235503111e-07,0.00012463135039850626,1.6538055031378786e-05,-7.5369118787035285e-06,0.20508018282578092,4.181269894852028e-12,0.04108834866580047,363.0,3.4209043925051077,4.893855978058331e-11,9.001143152675258e-06,337.0,3.1060503993986166,2.7223052091392736e-05,0.2925523498161615,1.2871849122743936e-05,9.174136682797971e-08,1.2908482085679913e-05,3.881546105339701,11.71875,2.820805114725121e-08,2.8334743701431893e-05,-7.708082407213272e-06,5.308032576406025e-05,2.7648439223207887e-07,3.215402633351494,9.891954053530619e-08,8.183295616691154e-05,0.27714678535929116,0.14874274249541372,8.093939991574509e-06
1.0341275794149582e-06,1.034127606281557e-06,1.0694199060736234e-12,0.6286533887079563,1.0694198505066409e-12,8.360916757387502,1.2603702565917698e-13,0.0008856756990770208,0.0006305501585182859,1.8800519396686414e-10,5.878307380853933e-07,7.790009228282442,1.0338671192697009e-10,9.474840415615245e-14,7.491826317941502e-05,4.003676302911763e-08,8.946119145629045e-11,0.6606412911381895,3.0330374014818948e-12,3.2778065417161716e-07,0.00012434011627413376,1.689511592741698e-05,-8.449026153584555e-06,0.08069995429858601,9.689608709687697e-13,0.025281889440141956,309.0,8.080491655076953,9.926999019727994e-11,8.446089773832423e-06,273.0,2.7425028529152065,3.060889103801654e-05,0.23483026291755105,1.4466062254487313e-05,1.15301700444503e-07,1.4468529516270554e-05,7.855655549950727,9.27734375,2.432623025599154e-08,3.101797058447055e-05,-9.802898017947729e-06,6.212544132310701e-05,4.546016340352453e-07,2.80411953691199,1.2011311825358164e-07,9.451410223231136e-05,0.21997367547707458,0.08175756121511618,9.36014168270397e-06
1.0439745098760883e-06,1.0439745174079642e-06,1.0898827929971917e-12,0.6871588934090249,1.0898827772710187e-12,8.459751570895852,1.0335359981868141e-13,0.0006307534919862203,0.0005907430042754767,3.251393250054598e-10,1.0352598534236474e-06,8.115725484573609,1.54978235124509e-10,1.1161451108986352e-13,9.267669804237315e-05,4.713203228995247e-08,1.1259603978981357e-10,0.7108134962972148,3.530817705288565e-12,4.707770189306841e-07,0.00014522729579881215,1.8289461475974977e-05,-8.992924120185727e-06,0.08467005133615943,2.663720430195454e-12,0.020329151861898195,289.0,8.018744399894812,1.343005338888338e-10,9.29653735578925e-06,294.0,2.623420789256729,3.420654013241333e-05,0.21645638640698533,1.585283906006218e-05,1.4588500695977508e-07,1.5852877405799793e-05,7.639945575208503,8.7890625,3.7746134767303796e-08,3.413804858712463e-05,-1.0341964940010002e-05,6.197223813539401e-05,5.70522355406906e-07,2.631978072335857,1.452022771819821e-07,0.00010776095283445409,0.16824254224089286,0.08864398973816139,9.922460467575503e-06
1.0171599692055498e-06,1.0171601806902873e-06,1.0346148331818978e-12,0.5728184088624987,1.034614402954235e-12,4.812265383182857,1.2601254085228894e-13,0.0009635197264749688,0.0007373144371924549,1.8004634754458985e-10,5.392972513407707e-07,4.052381410473926,7.853192503203383e-11,1.097489802360486e-13,7.489013833084078e-05,3.341173560140489e-08,7.491523127586324e-11,0.6390381083740421,2.3331240616199404e-12,2.3299521280492348e-07,0.0001183677300419498,1.629213755065121e-05,-7.77503000241286e-06,0.1413535279235988,9.22319024042604e-13,0.029215121990186534,337.0,5.51221345392,9.512058517812286e-11,8.51710754823835e-06,307.0,2.9271687047398296,3.2646598540104414e-05,0.26769825859307284,1.3509729871901717e-05,1.3125428062743503e-07,1.351213166247184e-05,5.766179509409408,9.765625,2.0403223446116463e-08,3.483140728204346e-05,-8.713069869953886e-06,5.593222520398673e-05,3.192742067874423e-07,2.9742634995033117,1.4942568360300664e-07,9.312457680968022e-05,0.20681437424377336,0.11593130667310994,9.655507677271997e-06
1.032153167761237e-06,1.0321531867617033e-06,1.0653402009423398e-12,0.6066781970280836,1.0653401617195564e-12,7.356084582834978,1.1499769942250558e-13,0.0007475279162434987,0.0007098388221803476,1.8884404257566798e-10,5.75169896985276e-07,6.195535545075312,1.0323575148110248e-10,1.1000157547077319e-13,6.741233072025293e-05,3.797314146715958e-08,9.332975455768464e-11,0.5742029306873099,2.2884968495096907e-12,3.1161842282469555e-07,0.00010887417404656532,2.0452414215208662e-05,-1.0588079697114877e-05,0.09792183300607776,1.3767527410768208e-12,0.02088406100473927,286.0,4.8717287418541115,8.89824915767871e-11,9.864334518093787e-06,322.0,2.882171045861707,3.513651936176324e-05,0.2389908873398037,1.5086588201619411e-05,1.5194873841485629e-07,1.5086683651944425e-05,5.8019495914844805,9.27734375,3.077266331465969e-08,3.540366541731312e-05,-8.989615164313259e-06,4.434714684635284e-05,4.641538481658718e-07,2.823102604675614,1.5512073239389235e-07,7.11975530325071e-05,0.2726706244804071,0.11786430672015952,9.644195256361631e-06
1.031043531055294e-06,1.0310436768526843e-06,1.0630510635779026e-12,0.6602532989910037,1.063050762930969e-12,9.836746028887086,1.3215702893101303e-13,0.0010602295359963796,0.0009579740278283962,2.1433765800086e-10,6.752554383422136e-07,9.867872472205102,1.1011638511370037e-10,1.1349240154982619e-13,7.849307729629958e-05,3.979673465503388e-08,8.230021082609117e-11,0.6125616841577448,2.2678578244548463e-12,3.4944307686239127e-07,0.00011349638956209969,1.684869798856356e-05,-8.560873364955728e-06,0.066909387089339,1.5378693118733965e-12,0.024531094172502474,297.0,5.901833102302194,7.257096185589077e-11,8.287824623607832e-06,315.0,2.9538614421845493,3.1796832910614176e-05,0.23618791595189842,1.303506669228822e-05,1.2635204350630702e-07,1.3036962165506792e-05,5.857979873624843,8.7890625,2.8009947381763166e-08,3.070760316370137e-05,-8.405397754730721e-06,5.3238411343687066e-05,3.365605330858471e-07,2.790123691527584,1.1667285298684003e-07,9.050238648831536e-05,0.23359443926725038,0.10379176664938153,9.195987479841213e-06
